PowerCycleInterval: 5.00 
MeasureInterval: 1.50 
Number of tests: 10 
SetVoltage: 2.800 
CurrentLimit: 2.000 
1687825335.442	2.800	0.042
1687825337.133	2.800	0.042
1687825338.824	2.800	0.042
1687825342.016	2.800	0.042
1687825343.707	2.800	0.042
1687825345.398	2.800	0.042
1687825348.590	2.800	0.042
1687825350.281	2.800	0.042
1687825351.972	2.800	0.042
1687825355.165	2.800	0.042
1687825356.856	2.800	0.042
1687825358.547	2.800	0.042
1687825361.741	2.800	0.042
1687825363.432	2.800	0.042
1687825365.123	2.800	0.042
1687825368.316	2.800	0.042
1687825370.007	2.800	0.042
1687825371.698	2.800	0.042
1687825374.893	2.800	0.042
1687825376.584	2.800	0.042
1687825378.275	2.800	0.042
1687825381.469	2.800	0.042
1687825383.160	2.800	0.042
1687825384.851	2.800	0.042
1687825388.047	2.800	0.042
1687825389.738	2.800	0.042
1687825391.429	2.800	0.042
1687825394.623	2.800	0.042
1687825396.317	2.800	0.042
1687825398.008	2.800	0.042
