PowerCycleInterval: 5.00 
MeasureInterval: 1.50 
Number of tests: 5 
SetVoltage: 5.000 
CurrentLimit: 0.200 
1687897304.862	4.999	0.076
1687897306.553	4.999	0.076
1687897308.245	4.999	0.076
1687897311.439	4.999	0.076
1687897313.130	4.999	0.076
1687897314.822	4.999	0.076
1687897318.015	4.999	0.076
1687897319.706	4.999	0.076
1687897321.400	4.999	0.076
1687897324.593	4.999	0.076
1687897326.284	4.999	0.076
1687897327.975	4.999	0.076
1687897331.167	4.999	0.076
1687897332.861	4.999	0.076
1687897334.552	4.999	0.076
