PowerCycleInterval: 5.00 
MeasureInterval: 1.50 
Number of tests: 10 
SetVoltage: 2.800 
CurrentLimit: 2.000 
1687825238.786	2.800	0.042
1687825240.478	2.800	0.042
1687825242.170	2.800	0.042
1687825245.364	2.800	0.042
1687825247.055	2.800	0.042
1687825248.749	2.800	0.042
1687825251.942	2.800	0.042
1687825253.633	2.800	0.042
1687825255.324	2.800	0.042
1687825258.518	2.800	0.042
1687825260.209	2.800	0.042
1687825261.900	2.800	0.042
1687825265.096	2.800	0.042
1687825266.787	2.800	0.042
1687825268.478	2.800	0.042
1687825271.672	2.800	0.042
1687825273.366	2.800	0.042
1687825275.057	2.800	0.042
1687825278.250	2.800	0.042
1687825279.941	2.800	0.042
1687825281.632	2.800	0.042
1687825284.825	2.800	0.042
1687825286.516	2.800	0.042
1687825288.207	2.800	0.042
1687825291.401	2.800	0.042
1687825293.092	2.800	0.042
1687825294.783	2.800	0.042
1687825297.978	2.800	0.042
1687825299.669	2.800	0.042
1687825301.360	2.800	0.042
